Exposure_Condition,Group_Comparison,Timepoint,BioSpyder_Identifier,Gene_Symbol,Mean_Expression_Count,padj,log2FC,"Does the Gene Meet Statistical Criteria of padj<0.10 and FC >= +/- 1.5
(i.e., log2FC of 0.5849)?","Does the Gene Meet Statistical Criteria of padj<0.10 and FC >= +/- 2
(i.e., log2FC of 1)?","Does the Gene Meet Statistical Criteria of padj<0.10 and FC >= +/- 2.5
(i.e., log2FC of 1.3219)?"
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Asnsd1_69176,Asnsd1,938.241,8.16E-03,-0.7750,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Asph_69919,Asph,464.654,1.99E-05,-0.6154,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Aspn_29620,Aspn,1207.462,6.51E-02,-0.7882,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Atad5_73477,Atad5,39.876,1.30E-03,-1.1669,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Ate1_65202,Ate1,341.796,4.70E-03,-0.8661,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Ate1_68840,Ate1,93.016,8.15E-03,-1.4675,Yes,Yes,Yes
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Atf2_65871,Atf2,24.531,6.64E-02,-0.9538,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Atg4c_54845,Atg4c,187.586,1.35E-04,-0.9280,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Atg5_56773,Atg5,529.561,5.79E-04,-0.8957,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Atm_74999,Atm,81.474,4.80E-04,-0.9243,Yes,No,No
